	Date	Time	Emotion
0	2022-04-05	22:59:18	Disgust
1	2022-04-05	22:59:18	Disgust
2	2022-04-05	22:59:18	Disgust
3	2022-04-05	22:59:18	Disgust
4	2022-04-05	22:59:19	Disgust
5	2022-04-05	22:59:19	Disgust
6	2022-04-05	22:59:19	Disgust
7	2022-04-05	22:59:19	Disgust
8	2022-04-05	22:59:20	Disgust
9	2022-04-05	22:59:20	Disgust
10	2022-04-05	22:59:20	Disgust
11	2022-04-05	22:59:20	Disgust
12	2022-04-05	22:59:20	Disgust
13	2022-04-05	22:59:20	Disgust
14	2022-04-05	22:59:21	Disgust
15	2022-04-05	22:59:21	Disgust
16	2022-04-05	22:59:21	Disgust
17	2022-04-05	22:59:21	Disgust
18	2022-04-05	22:59:21	Disgust
19	2022-04-05	22:59:21	Disgust
20	2022-04-05	22:59:22	Disgust
21	2022-04-05	22:59:22	Disgust
22	2022-04-05	22:59:22	Disgust
23	2022-04-05	22:59:22	Disgust
24	2022-04-05	22:59:22	Disgust
25	2022-04-05	22:59:22	Disgust
26	2022-04-05	22:59:22	Disgust
27	2022-04-05	22:59:23	Disgust
28	2022-04-05	22:59:23	Disgust
29	2022-04-05	22:59:23	Disgust
30	2022-04-05	22:59:23	Disgust
31	2022-04-05	22:59:23	Disgust
32	2022-04-05	22:59:23	Disgust
33	2022-04-05	22:59:23	Disgust
34	2022-04-05	22:59:23	Disgust
35	2022-04-05	22:59:24	Disgust
36	2022-04-05	22:59:24	Disgust
37	2022-04-05	22:59:24	Disgust
38	2022-04-05	22:59:24	Disgust
39	2022-04-05	22:59:24	Disgust
40	2022-04-05	22:59:25	Disgust
41	2022-04-05	22:59:25	Disgust
42	2022-04-05	22:59:25	Disgust
43	2022-04-05	22:59:25	Disgust
44	2022-04-05	22:59:25	Disgust
45	2022-04-05	22:59:25	Disgust
46	2022-04-05	22:59:25	Disgust
