	Date	Time	Emotion
0	2022-04-21	14:54:53	Neutral
1	2022-04-21	14:54:53	Neutral
2	2022-04-21	14:54:54	Neutral
3	2022-04-21	14:54:54	Neutral
4	2022-04-21	14:54:54	Neutral
5	2022-04-21	14:54:54	Neutral
6	2022-04-21	14:54:55	Neutral
7	2022-04-21	14:54:55	Neutral
8	2022-04-21	14:54:55	Sad
9	2022-04-21	14:54:55	Neutral
10	2022-04-21	14:54:55	Sad
11	2022-04-21	14:54:55	Neutral
12	2022-04-21	14:54:55	Neutral
13	2022-04-21	14:54:55	Sad
14	2022-04-21	14:54:56	Neutral
15	2022-04-21	14:54:56	Sad
16	2022-04-21	14:54:56	Neutral
17	2022-04-21	14:54:56	Neutral
18	2022-04-21	14:54:56	Neutral
19	2022-04-21	14:54:56	Neutral
20	2022-04-21	14:54:57	Sad
21	2022-04-21	14:54:57	Neutral
22	2022-04-21	14:54:57	Neutral
23	2022-04-21	14:54:57	Neutral
24	2022-04-21	14:54:57	Neutral
25	2022-04-21	14:54:57	Neutral
26	2022-04-21	14:54:57	Neutral
27	2022-04-21	14:54:57	Neutral
28	2022-04-21	14:54:58	Neutral
29	2022-04-21	14:54:58	Neutral
30	2022-04-21	14:54:58	Sad
31	2022-04-21	14:54:58	Neutral
32	2022-04-21	14:54:58	Neutral
33	2022-04-21	14:54:58	Sad
34	2022-04-21	14:54:58	Neutral
35	2022-04-21	14:54:58	Happy
36	2022-04-21	14:54:59	Happy
37	2022-04-21	14:54:59	Happy
38	2022-04-21	14:54:59	Happy
39	2022-04-21	14:54:59	Happy
40	2022-04-21	14:54:59	Happy
41	2022-04-21	14:54:59	Happy
42	2022-04-21	14:55:00	Happy
43	2022-04-21	14:55:00	Happy
44	2022-04-21	14:55:00	Happy
45	2022-04-21	14:55:00	Happy
46	2022-04-21	14:55:00	Happy
47	2022-04-21	14:55:00	Happy
48	2022-04-21	14:55:00	Happy
49	2022-04-21	14:55:01	Happy
50	2022-04-21	14:55:01	Neutral
51	2022-04-21	14:55:01	Neutral
52	2022-04-21	14:55:01	Neutral
53	2022-04-21	14:55:01	Neutral
54	2022-04-21	14:55:01	Neutral
55	2022-04-21	14:55:01	Neutral
56	2022-04-21	14:55:02	Neutral
57	2022-04-21	14:55:02	Neutral
58	2022-04-21	14:55:02	Neutral
59	2022-04-21	14:55:02	Neutral
60	2022-04-21	14:55:02	Neutral
61	2022-04-21	14:55:02	Neutral
62	2022-04-21	14:55:02	Neutral
63	2022-04-21	14:55:03	Neutral
64	2022-04-21	14:55:03	Neutral
65	2022-04-21	14:55:03	Neutral
66	2022-04-21	14:55:03	Neutral
67	2022-04-21	14:55:03	Neutral
68	2022-04-21	14:55:03	Neutral
69	2022-04-21	14:55:03	Neutral
