	Date	Time	Emotion
0	2022-04-14	18:36:13	Neutral
1	2022-04-14	18:36:14	Neutral
2	2022-04-14	18:36:14	Neutral
3	2022-04-14	18:36:14	Neutral
4	2022-04-14	18:36:14	Neutral
5	2022-04-14	18:36:14	Neutral
6	2022-04-14	18:36:14	Neutral
7	2022-04-14	18:36:14	Neutral
8	2022-04-14	18:36:14	Neutral
9	2022-04-14	18:36:15	Neutral
10	2022-04-14	18:36:15	Happy
11	2022-04-14	18:36:15	Happy
12	2022-04-14	18:36:15	Happy
13	2022-04-14	18:36:15	Happy
14	2022-04-14	18:36:15	Happy
15	2022-04-14	18:36:15	Happy
16	2022-04-14	18:36:15	Happy
17	2022-04-14	18:36:15	Neutral
18	2022-04-14	18:36:16	Happy
19	2022-04-14	18:36:16	Happy
20	2022-04-14	18:36:16	Happy
21	2022-04-14	18:36:16	Happy
22	2022-04-14	18:36:16	Happy
23	2022-04-14	18:36:16	Happy
24	2022-04-14	18:36:17	Happy
25	2022-04-14	18:36:17	Happy
26	2022-04-14	18:36:17	Happy
27	2022-04-14	18:36:17	Happy
28	2022-04-14	18:36:17	Happy
29	2022-04-14	18:36:17	Happy
30	2022-04-14	18:36:17	Happy
31	2022-04-14	18:36:17	Happy
32	2022-04-14	18:36:17	Neutral
33	2022-04-14	18:36:17	Neutral
34	2022-04-14	18:36:17	Neutral
35	2022-04-14	18:36:17	Neutral
36	2022-04-14	18:36:17	Neutral
37	2022-04-14	18:36:18	Neutral
38	2022-04-14	18:36:18	Neutral
39	2022-04-14	18:36:18	Neutral
40	2022-04-14	18:36:18	Neutral
41	2022-04-14	18:36:18	Neutral
42	2022-04-14	18:36:18	Neutral
43	2022-04-14	18:36:18	Neutral
44	2022-04-14	18:36:18	Neutral
45	2022-04-14	18:36:18	Neutral
46	2022-04-14	18:36:18	Neutral
47	2022-04-14	18:36:18	Neutral
48	2022-04-14	18:36:18	Neutral
49	2022-04-14	18:36:19	Neutral
50	2022-04-14	18:36:19	Neutral
51	2022-04-14	18:36:19	Neutral
52	2022-04-14	18:36:19	Neutral
53	2022-04-14	18:36:19	Neutral
54	2022-04-14	18:36:19	Neutral
55	2022-04-14	18:36:19	Neutral
56	2022-04-14	18:36:19	Neutral
57	2022-04-14	18:36:19	Neutral
58	2022-04-14	18:36:19	Neutral
59	2022-04-14	18:36:19	Neutral
60	2022-04-14	18:36:19	Happy
61	2022-04-14	18:36:19	Neutral
62	2022-04-14	18:36:19	Neutral
63	2022-04-14	18:36:19	Neutral
64	2022-04-14	18:36:19	Neutral
65	2022-04-14	18:36:20	Neutral
66	2022-04-14	18:36:20	Neutral
67	2022-04-14	18:36:20	Neutral
68	2022-04-14	18:36:20	Happy
69	2022-04-14	18:36:20	Neutral
70	2022-04-14	18:36:20	Neutral
71	2022-04-14	18:36:20	Neutral
72	2022-04-14	18:36:20	Neutral
73	2022-04-14	18:36:20	Neutral
74	2022-04-14	18:36:20	Neutral
75	2022-04-14	18:36:20	Neutral
76	2022-04-14	18:36:20	Neutral
77	2022-04-14	18:36:20	Neutral
78	2022-04-14	18:36:20	Neutral
79	2022-04-14	18:36:20	Neutral
80	2022-04-14	18:36:21	Neutral
81	2022-04-14	18:36:21	Neutral
82	2022-04-14	18:36:21	Neutral
83	2022-04-14	18:36:21	Neutral
84	2022-04-14	18:36:21	Neutral
85	2022-04-14	18:36:21	Neutral
86	2022-04-14	18:36:21	Neutral
87	2022-04-14	18:36:21	Neutral
88	2022-04-14	18:36:21	Neutral
89	2022-04-14	18:36:21	Neutral
90	2022-04-14	18:36:21	Neutral
91	2022-04-14	18:36:21	Happy
92	2022-04-14	18:36:21	Neutral
93	2022-04-14	18:36:21	Neutral
94	2022-04-14	18:36:21	Neutral
95	2022-04-14	18:36:22	Neutral
96	2022-04-14	18:36:22	Neutral
97	2022-04-14	18:36:22	Neutral
98	2022-04-14	18:36:22	Neutral
99	2022-04-14	18:36:22	Neutral
100	2022-04-14	18:36:22	Happy
101	2022-04-14	18:36:22	Neutral
102	2022-04-14	18:36:22	Neutral
103	2022-04-14	18:36:22	Happy
104	2022-04-14	18:36:22	Happy
105	2022-04-14	18:36:22	Happy
106	2022-04-14	18:36:22	Happy
107	2022-04-14	18:36:22	Happy
108	2022-04-14	18:36:22	Neutral
109	2022-04-14	18:36:22	Happy
110	2022-04-14	18:36:22	Neutral
111	2022-04-14	18:36:23	Happy
112	2022-04-14	18:36:23	Neutral
113	2022-04-14	18:36:23	Happy
114	2022-04-14	18:36:23	Happy
115	2022-04-14	18:36:23	Neutral
116	2022-04-14	18:36:23	Neutral
117	2022-04-14	18:36:23	Neutral
118	2022-04-14	18:36:23	Happy
119	2022-04-14	18:36:23	Happy
120	2022-04-14	18:36:23	Happy
121	2022-04-14	18:36:23	Happy
122	2022-04-14	18:36:23	Happy
123	2022-04-14	18:36:23	Happy
124	2022-04-14	18:36:23	Neutral
125	2022-04-14	18:36:23	Neutral
126	2022-04-14	18:36:24	Neutral
127	2022-04-14	18:36:24	Neutral
128	2022-04-14	18:36:24	Neutral
129	2022-04-14	18:36:24	Neutral
130	2022-04-14	18:36:24	Neutral
